股票代码,股票名称,最新价格,市盈率(PE)
001228,永泰运,27.33,26.27
688082,盛美上海,183.38,63.24
300878,维康药业,23.88,-26.92
301200,大族数控,100.26,65.07
603171,税友股份,48.27,138.1
920547,无锡晶海,26.73,27.84
301379,天山电子,31.8,42.07
300210,森远股份,9.57,278.41
920896,旺成科技,24.2,42.78
600076,康欣新材,2.88,-14.43
301282,金禄电子,27.08,39.08
300083,创世纪,9.36,33.41
920717,瑞星股份,12.73,229.21
301468,博盈特焊,34.7,72.32
300982,苏文电能,19.77,57.88
300328,宜安科技,15.41,-284.71
300993,玉马科技,18.3,38.06
920718,合肥高科,18.6,27.77
920656,海昇药业,18.85,31.08
300703,创源股份,30.4,55.07
603615,茶花股份,24.72,-815.28
000797,中国武夷,2.91,-24.58
920242,建邦科技,33.33,22.2
688114,华大智造,69.31,-139.41
300806,斯迪克,25.9,232.69
002922,伊戈尔,23.2,46.94
603049,中策橡胶,51.33,9.58
001896,豫能控股,6.12,45.24
688312,燕麦科技,27.9,70.28
002743,富煌钢构,5.63,40.01
600425,青松建化,4.89,35.73
002448,中原内配,11.04,13.9
300951,博硕科技,37.78,32.76
002600,领益智造,14.99,58.67
600173,卧龙新能,10.32,44.33
920245,威博液压,30.01,70.34
688357,建龙微纳,37.73,38.78
300264,佳创视讯,5.67,-164.5
920957,汉维科技,14.77,-991.53
603091,众鑫股份,73.86,32.41
600113,浙江东日,52.49,160.6
600962,国投中鲁,21.6,112.91
000042,中洲控股,8.19,14.37
002483,润邦股份,7.21,19.6
300570,太辰光,101.85,66.72
002021,中捷资源,3.0,131.54
920703,广厦环能,15.25,22.2
600981,苏豪汇鸿,3.0,30.42
002971,和远气体,37.58,80.93
601218,吉鑫科技,5.76,34.22
600545,卓郎智能,3.26,-14.48
601588,北辰实业,2.01,-2.13
300651,金陵体育,23.33,94.5
600192,长城电工,10.3,-20.28
000151,中成股份,12.55,-38.14
301169,零点有数,42.3,-40.06
920249,利尔达,14.89,294.71
300374,中铁装配,16.93,-56.31
600692,亚通股份,8.34,-142.2
301217,铜冠铜箔,28.78,341.29
920190,雷神科技,27.34,95.36
000514,渝 开 发,5.57,12.15
300894,火星人,12.45,-20.55
688097,博众精工,32.83,45.09
000927,中国铁物,2.8,26.47
002323,雅博股份,1.78,-45.77
603062,麦加芯彩,54.07,26.52
301155,海力风电,90.3,47.84
600156,华升股份,8.7,-129.04
301072,中捷精工,24.8,-67.3
920833,美心翼申,19.93,39.36
688667,菱电电控,62.89,38.16
688569,铁科轨道,21.98,34.59
688630,芯碁微装,126.96,58.88
002795,永和智控,5.38,-31.87
688035,德邦科技,51.42,80.24
301289,国缆检测,55.25,50.39
601116,三江购物,15.18,45.49
603668,天马科技,14.95,62.52
300548,长芯博创,101.86,88.13
688511,*ST天微,24.27,40.49
300819,聚杰微纤,26.57,48.06
300136,信维通信,29.19,87.26
002837,英维克,71.95,132.05
920015,锦华新材,46.55,26.78
002558,巨人网络,40.1,49.92
300977,深圳瑞捷,19.42,77.75
920608,丰安股份,23.07,36.92
600150,中国船舶,36.29,46.35
600159,大龙地产,3.11,-119.99
603289,泰瑞机器,10.9,28.35
000021,深科技,28.33,49.14
002517,恺英网络,24.69,27.76
300606,金太阳,25.02,117.65
603950,长源东谷,37.52,33.29
920856,浩淼科技,19.03,59.38
301387,光大同创,40.48,93.03
002708,光洋股份,13.89,73.73
002629,仁智股份,8.65,-155.54
688766,普冉股份,117.79,214.06
301132,满坤科技,35.2,41.21
300134,大富科技,11.54,-38.09
920026,卓兆点胶,40.8,62.52
688500,慧辰股份,75.2,-88.4
603660,苏州科达,8.43,-11.25
688115,思林杰,52.34,-116.64
600622,光大嘉宝,2.9,-5.83
603822,嘉澳环保,95.5,-216.93
002285,世联行,2.38,-193.91
000897,津滨发展,2.38,890.34
300266,兴源环境,2.65,-58.94
300636,同和药业,8.74,31.38
688370,丛麟科技,27.3,329.29
600653,申华控股,2.12,-34.78
300658,延江股份,8.48,54.6
603083,剑桥科技,112.48,124.67
300035,中科电气,24.74,31.14
002760,凤形股份,21.24,157.52
002723,小崧股份,8.23,-39.16
000659,珠海中富,2.92,-50.45
002628,成都路桥,5.05,-84.44
000727,冠捷科技,2.66,-12.24
002124,天邦食品,2.93,9.25
600339,中油工程,3.73,22.15
300535,达威股份,19.7,72.55
300302,同有科技,22.1,855.3
688021,奥福科技,18.9,-298.98
002836,新宏泽,10.68,39.1
605577,龙版传媒,13.9,25.73
301122,采纳股份,27.05,176.47
603683,晶华新材,32.4,124.53
600636,*ST国化,8.3,261.31
002885,京泉华,24.9,81.68
000417,合百集团,7.49,17.09
603818,曲美家居,4.03,-29.52
600515,海南机场,4.83,216.19
920725,惠丰钻石,40.84,-184.97
603079,圣达生物,17.99,44.98
600620,天宸股份,6.45,116.86
002718,友邦吊顶,24.73,160.02
603800,洪田股份,52.43,-153.56
300269,联建光电,5.11,-646.21
600936,广西广电,3.77,-9.2
688182,灿勤科技,25.55,88.88
603023,威帝股份,4.3,2173.49
002314,南山控股,2.97,43.93
600743,华远控股,2.16,-112.7
600593,大连圣亚,43.39,-175.76
000056,皇庭国际,2.43,-7.75
300569,天能重工,6.48,47.85
301041,金百泽,27.78,432.69
603299,苏盐井神,11.63,13.21
002816,*ST和科,22.74,-434.52
688772,珠海冠宇,26.0,125.97
300257,开山股份,15.98,41.68
920580,科创新材,16.3,99.75
301548,崇德科技,53.25,34.95
920395,朗鸿科技,14.12,33.53
688022,瀚川智能,15.23,58.4
920469,富恒新材,13.86,143.85
601226,华电科工,7.61,82.0
300296,利亚德,6.8,53.68
000893,亚钾国际,41.05,22.19
603556,海兴电力,29.19,17.92
920471,美邦科技,14.72,-102.59
603093,南华期货,20.97,27.66
